x,50.xy,Ycalc,Diff,Gd2O3,UO2
15.52,129,107.450227,21.5497732,0.0959601964,0
15.54,103,107.361429,-4.3614285,0.0971272061,0
15.56,116,107.273089,8.72691095,0.0983639995,0
15.58,109,107.185211,1.81478916,0.0996779226,0
15.6,102,107.097797,-5.09779727,0.101077328,0
15.62,120,107.010853,12.9891471,0.102571742,0
15.64,112,106.924384,5.07561614,0.104172064,0
15.66,121,106.838398,14.1616023,0.105890813,0
15.68,99,106.752904,-7.75290408,0.107742413,0
15.7,99,106.667915,-7.66791489,0.109743557,0
15.72,115,106.583445,8.41655521,0.111913639,0
15.74,101,106.499512,-5.49951168,0.114275292,0
15.76,95,106.416137,-11.4161374,0.116855056,0
15.78,113,106.333349,6.66665135,0.119684198,0
15.8,131,106.251178,24.7488222,0.122799738,0
15.82,117,106.169664,10.8303358,0.126245708,0
15.84,112,106.088856,5.91114401,0.130074709,0
15.86,102,106.008812,-4.0088117,0.134349789,0
15.88,89,105.929603,-16.9296026,0.139146702,0
15.9,112,105.851315,6.14868469,0.14455654,0
15.92,110,105.774055,4.22594516,0.150688719,0
15.94,110,105.697948,4.30205224,0.157674198,0
15.96,99,105.623145,-6.62314542,0.165668685,0
15.98,107,105.549827,1.45017333,0.174855354,0
16,97,105.478199,-8.47819921,0.185446187,0
16.02,100,105.408498,-5.40849804,0.197680457,0
16.04,101,105.340979,-4.34097865,0.211817882,0
16.06,102,105.275901,-3.27590111,0.228122711,0
16.08,97,105.2135,-8.21349989,0.246833589,0
16.1,104,105.153934,-1.15393362,0.268113282,0
16.12,107,105.09721,1.90279015,0.291973447,0
16.14,101,105.043084,-4.04308448,0.318174039,0
16.16,110,104.990944,5.00905617,0.346105434,0
16.18,111,104.939961,6.06003878,0.374944958,0
16.2,77,104.890087,-27.8900868,0.404646719,0
16.22,96,104.841901,-8.84190113,0.435795301,0
16.24,125,104.797034,20.2029664,0.470023898,0
16.26,85,104.757079,-19.757079,0.508931322,0
16.28,97,104.680046,-7.68004607,0.510530059,0
16.3,100,104.593569,-4.59356855,0.502457732,0
16.32,84,104.498775,-20.4987754,0.485847035,0
16.34,105,104.397837,0.602162731,0.462872543,0
16.36,106,104.293355,1.70664482,0.436138873,0
16.38,108,104.187766,3.8122339,0.408086739,0
16.4,99,104.082966,-5.08296644,0.380616258,0
16.42,109,103.980196,5.01980421,0.354970651,0
16.44,78,103.880109,-25.8801089,0.331808297,0
16.46,115,103.78293,11.2170699,0.311357115,0
16.48,85,103.688611,-18.6886105,0.293571821,0
16.5,89,103.596951,-14.5969515,0.278257263,0
16.52,94,103.507688,-9.5076875,0.265151504,0
16.54,97,103.420537,-6.42053662,0.253976002,0
16.56,89,103.335228,-14.3352277,0.244463083,0
16.58,105,103.251514,1.74848626,0.236369229,0
16.6,109,103.169177,5.83082292,0.22948012,0
16.62,110,103.08803,6.91197029,0.22361113,0
16.64,103,103.007912,-0.00791151635,0.218605495,0
16.66,104,102.928687,1.07131262,0.214331408,0
16.68,101,102.850244,-1.85024391,0.210678756,0
16.7,112,102.772486,9.22751381,0.207555898,0
16.72,102,102.695335,-0.695334842,0.204886676,0
16.74,115,102.618723,12.3812767,0.202607774,0
16.76,103,102.542596,0.457404239,0.200666447,0
16.78,111,102.466905,8.53309513,0.19901861,0
16.8,94,102.391611,-8.39161054,0.197627269,0
16.82,109,102.316678,6.68332151,0.196461235,0
16.84,91,102.242079,-11.2420792,0.195494087,0
16.86,104,102.167787,1.83221277,0.194703338,0
16.88,80,102.09378,-22.0937802,0.194069762,0
16.9,100,102.020039,-2.02003873,0.19357685,0
16.92,108,101.946546,6.05345446,0.193210373,0
16.94,124,101.873285,22.1267146,0.192958024,0
16.96,119,101.800245,17.1997553,0.192809121,0
16.98,108,101.727411,6.27258864,0.192754369,0
17,91,101.654774,-10.6547743,0.192785658,0
17.02,114,101.582324,12.4176765,0.192895895,0
17.04,94,101.51005,-7.51005015,0.193078864,0
17.06,91,101.437946,-10.4379459,0.193329106,0
17.08,118,101.366003,16.6339969,0.193641822,0
17.1,83,101.294215,-18.2942149,0.194012786,0
17.12,109,101.222575,7.77742524,0.194438272,0
17.14,99,101.151077,-2.1510768,0.194914995,0
17.16,106,101.079715,4.92028458,0.195440055,0
17.18,101,101.008485,-0.0084854135,0.196010895,0
17.2,96,100.937382,-4.93738191,0.196625261,0
17.22,96,100.8664,-4.86640034,0.197281164,0
17.24,104,100.795536,3.20446362,0.197976857,0
17.26,100,100.724786,-0.724785943,0.198710808,0
17.28,103,100.654145,2.34585482,0.199481676,0
17.3,102,100.58361,1.41638958,0.200288294,0
17.32,108,100.513178,7.48682182,0.201129651,0
17.34,103,100.442845,2.55715486,0.20200488,0
17.36,94,100.372608,-6.37260813,0.202913242,0
17.38,105,100.302464,4.69753586,0.203854118,0
17.4,97,100.23241,-3.23241027,0.204826998,0
17.42,106,100.162444,5.83755624,0.205831473,0
17.44,94,100.092562,-6.09256195,0.206867229,0
17.46,108,100.022762,7.9772377,0.207934037,0
17.48,103,99.9530424,3.04695761,0.209031751,0
17.5,106,99.8833999,6.11660013,0.210160304,0
17.52,123,99.8138325,23.1861675,0.2113197,0
17.54,90,99.7443382,-9.74433815,0.212510014,0
17.56,105,99.6749147,5.32508525,0.213731385,0
17.58,108,99.6055603,8.39443968,0.214984021,0
17.6,114,99.536273,14.463727,0.216268189,0
17.62,106,99.4670509,6.53294907,0.217584217,0
17.64,110,99.3978924,10.6021076,0.218932494,0
17.66,98,99.3287959,-1.32879585,0.220313466,0
17.68,87,99.2597596,-12.2597596,0.221727638,0
17.7,101,99.1907823,1.80921773,0.223175574,0
17.72,113,99.1218624,13.8781376,0.224657893,0
17.74,106,99.0529986,6.94700137,0.226175274,0
17.76,93,98.9841898,-5.98418976,0.227728455,0
17.78,103,98.9154346,4.08456537,0.229318233,0
17.8,96,98.8467321,-2.84673214,0.230945465,0
17.82,103,98.7780813,4.22191871,0.232611073,0
17.84,107,98.7094812,8.29051883,0.234316039,0
17.86,98,98.6409309,-0.640930944,0.236061413,0
17.88,106,98.5724299,7.42757012,0.237848312,0
17.9,107,98.5039773,8.49602269,0.239677924,0
17.92,106,98.4355727,7.5644273,0.241551509,0
17.94,100,98.3672156,1.63278443,0.243470402,0
17.96,110,98.2989056,11.7010944,0.24543602,0
17.98,85,98.2306424,-13.2306424,0.24744986,0
18,120,98.162426,21.837574,0.249513507,0
18.02,92,98.0942562,-6.09425624,0.251628636,0
18.04,109,98.0261332,10.9738668,0.253797019,0
18.06,90,97.9580571,-7.95805714,0.256020529,0
18.08,89,97.8900283,-8.89002831,0.258301143,0
18.1,115,97.8220472,17.1779528,0.260640951,0
18.12,112,97.7541145,14.2458855,0.263042324,0
18.14,95,97.6862488,-2.68624878,0.265525318,0
18.16,84,97.6184879,-13.6184879,0.268129498,0
18.18,114,97.5510137,16.4489863,0.271038173,0
18.2,118,97.4833972,20.5166028,0.273823906,0
18.22,118,97.4157212,20.5842788,0.27657116,0
18.24,116,97.3481004,18.6518996,0.279395997,0
18.26,93,97.2805365,-4.28053652,0.282301687,0
18.28,113,97.2130316,15.7869684,0.28529169,0
18.3,91,97.1455878,-6.14558777,0.288369674,0
18.32,88,97.0782076,-9.07820756,0.291539527,0
18.34,99,97.0108937,1.98910634,0.294805373,0
18.36,116,96.943649,19.056351,0.298171586,0
18.38,116,96.876477,19.123523,0.301642811,0
18.4,95,96.809381,-1.80938103,0.305223985,0
18.42,91,96.7423651,-5.74236512,0.308920354,0
18.44,114,96.6754335,17.3245665,0.312737531,0
18.46,96,96.6085941,-0.608594142,0.316684709,0
18.48,97,96.5418575,0.458142525,0.320773696,0
18.5,112,96.4752413,15.5247587,0.325023525,0
18.52,103,96.4087791,6.59122086,0.329468997,0
18.54,97,96.3423474,0.657652558,0.33398778,0
18.56,88,96.2760346,-8.27603456,0.338669449,0
18.58,94,96.2098481,-2.20984807,0.343522785,0
18.6,96,96.1437962,-0.14379618,0.348557187,0
18.62,95,96.0778878,-1.07788779,0.353782724,0
18.64,117,96.0121325,20.9878675,0.359210191,0
18.66,104,95.9465409,8.0534591,0.364851176,0
18.68,92,95.8811242,-3.88112418,0.370718127,0
18.7,98,95.8158947,2.18410533,0.376824432,0
18.72,109,95.7508657,13.2491343,0.383184503,0
18.74,113,95.6860517,17.3139483,0.38981387,0
18.76,120,95.6214684,24.3785316,0.396729289,0
18.78,93,95.5571329,-2.55713288,0.403948856,0
18.8,99,95.4930636,3.50693635,0.411492138,0
18.82,105,95.4292809,9.57071911,0.419380321,0
18.84,108,95.3658066,12.6341934,0.427636365,0
18.86,106,95.3026647,10.6973353,0.436285194,0
18.88,114,95.2398813,18.7601187,0.445353889,0
18.9,96,95.1774849,0.822515061,0.454871925,0
18.92,93,95.1155068,-2.11550684,0.464871417,0
18.94,90,95.0539811,-5.05398112,0.475387418,0
18.96,83,94.9929452,-11.9929452,0.486458233,0
18.98,103,94.9324401,8.06755989,0.498125797,0
19,96,94.872511,1.12748903,0.510436083,0
19.02,103,94.8132074,8.18679259,0.523439577,0
19.04,106,94.7545841,11.2454159,0.537191816,0
19.06,98,94.6967015,3.30329846,0.551754002,0
19.08,106,94.6396264,11.3603736,0.567193699,0
19.1,108,94.5834325,13.4165675,0.583585636,0
19.12,106,94.5282021,11.4717979,0.60101263,0
19.14,95,94.4740263,0.525973728,0.619566647,0
19.16,86,94.4210066,-8.42100664,0.639350022,0
